"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rps29",4301.50734738005,1.34773992270048,0.0890647270046161,6.39705763611487e-53,3.35397731861503e-49
"mt-Nd3",714.452368265962,1.52751378374511,0.113110825882092,8.74824153233397e-43,2.29335151770135e-39
"Gm42418",20762.1579039828,1.30496816891423,0.0983492987632565,2.73206626186954e-41,4.77474113699399e-38
"AY036118",1436.33319869042,1.34430405989716,0.114051838460453,2.56073419888135e-33,3.35648235118373e-30
"mt-Atp8",224.982025133548,1.87796939202814,0.162509753994421,4.82997718123414e-32,5.06471407224212e-29
"Hes1",450.904575842236,1.43285973239598,0.134341631262001,1.05685167864828e-27,9.23512225192154e-25
"Cd200",1125.41449652376,1.06060499714551,0.103269218128927,6.75617813956491e-26,5.06037742653412e-23
"Rpl38",1886.13477661029,0.921059524551411,0.0945572296126492,1.53585679358686e-23,9.47157332401934e-21
"Rps28",2210.51565406502,0.919460028326853,0.0944154719563493,1.62586610559172e-23,9.47157332401934e-21
"Gm14743",158.840512638056,2.30159797178055,0.238430904047427,3.79054230421968e-23,1.98738133010238e-20
"Nmt1",127.411926517375,1.8345454447642,0.206129470254021,2.72902746706034e-20,1.3007537281634e-17
"Slc38a2",466.072485735904,1.06579135347677,0.121690706062262,1.44356315158889e-19,6.30716800315044e-17
"Malat1",36777.801928275,0.800351201761351,0.091630248369765,1.57115999531165e-19,6.33660911955305e-17
"mt-Co1",6233.31374502929,0.762727420849622,0.0890920397683587,1.05616796274433e-18,3.9553490204775e-16
"mt-Nd2",1732.25149742917,0.814705908119214,0.100944379282914,5.90115545698989e-17,2.06265053739987e-14
"mt-Co3",4232.90630143093,0.724478080271347,0.0906383520915315,1.30103744356822e-16,4.2633370728926e-14
"Tmsb4x",7062.2350624441,-0.648483380937768,0.0851715266481076,2.9717216544542e-15,9.16513919664905e-13
"Dync1i2",246.553301495688,1.15536948623763,0.1558863188713,7.35493700066015e-15,2.14232970524784e-12
"mt-Nd5",694.354283209325,0.87760926125674,0.119138283512262,1.32135284612379e-14,3.64623840643529e-12
"Cped1",79.9803889300794,1.79272591102335,0.244699171902532,1.62558650372352e-14,4.2614750195112e-12
"Ubb",1403.59914458302,-0.691736065807533,0.0943801156507578,2.33848705512033e-14,5.83842268095042e-12
"Fth1",3310.87335133168,-0.678004089306784,0.0928149838751476,2.89277583089222e-14,6.89401076425814e-12
"Eif3j1",92.72658276773,1.69035761913332,0.2363881445212,5.02021223727121e-14,1.14439012000056e-11
"mt-Atp6",5935.25598814249,0.714110143093738,0.0995391412735983,7.23086965225787e-14,1.57964373278283e-11
"Rpl11",1691.10581173183,-0.661768350251117,0.0924225790923718,8.5601142949934e-14,1.79522716994601e-11
"Rpl9",2032.46579425213,-0.702920292762949,0.100277916867335,2.33122135552847e-13,4.700997525783e-11
"mt-Nd6",77.2586994893017,1.74576820062278,0.252835088879784,3.35309184497177e-13,6.51120760858778e-11
"Ahnak",758.160665441654,0.814431469914799,0.124067981367333,4.23880227194729e-12,7.93715725422129e-10
"Sumo2",390.731263038728,-0.810508641693302,0.123928434989543,5.29938119356273e-12,9.58091572339635e-10
"Btg1",583.793535531225,0.779828288171646,0.119432631000235,5.94858660314252e-12,1.03961465200921e-09
"Nudcd3",87.041834690284,1.50341042352753,0.233261220585242,6.65420405580497e-12,1.12541909240598e-09
"Cox8a",608.128523659753,-0.708074217009012,0.108988135930437,7.94946607151744e-12,1.30247033165519e-09
"Rpl7",1542.99112905544,-0.616111879296053,0.0951824569797025,1.11201422654632e-11,1.76675472417648e-09
"Cox5a",321.654415415251,-0.858111236006498,0.13487189977143,1.56052312448063e-11,2.40641845342705e-09
"Rpl21",1730.97192343363,-0.611660703045184,0.0963622180875243,2.58441995747389e-11,3.87146109629589e-09
"mt-Co2",5048.39631121587,0.555168165304023,0.088328078003246,4.39194711702827e-11,6.39638298182756e-09
"Nmt2",81.2353609748677,1.48251932244596,0.242679410325164,6.34768545711241e-11,8.9948418517947e-09
"Mfsd4a",25.5018419657666,3.56007534658742,0.574720468823527,6.67140179424905e-11,9.20477884401257e-09
"Rps27",2408.96760257055,0.560649471933962,0.0907281612433499,8.65628404269014e-11,1.16371531373909e-08
