"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rps29",9890.79956378097,1.11121539701422,0.0686221191927553,16.1932538675013,5.6272514163278e-59,3.7663193729482e-55
"Gm42418",11732.1416819226,1.42490888245078,0.10091466213424,14.1199390882894,2.86238629008456e-45,9.57897571976796e-42
"mt-Atp8",271.440515937199,1.82629495783625,0.138720286567968,13.1653055441277,1.38974278104428e-39,3.10051614450978e-36
"AY036118",977.388461441472,1.63053827498443,0.133433301840226,12.2198750424152,2.43458630984523e-34,4.07367154294854e-31
"Rps20",3758.44516240857,-0.870220133981922,0.0719734521795395,-12.0908488842683,1.18060522113112e-33,1.49883732503002e-30
"Plek",1102.347153741,1.08127811059395,0.0895081692946986,12.0802170250397,1.34364619007622e-33,1.49883732503002e-30
"Nmt1",296.165948201282,1.55119526689469,0.133671172603526,11.6045609287472,3.90687733671219e-31,3.73553285923067e-28
"Ier2",1575.44892366142,-0.971701138198302,0.0868694451896009,-11.1857642935036,4.78762512993877e-29,3.70292314983414e-26
"mt-Nd3",953.940904410471,1.04295921429033,0.0932689048745511,11.1822821946192,4.97927810376621e-29,3.70292314983414e-26
"Rps16",3596.39980048204,-0.80376798600797,0.0739219858235261,-10.8731925563635,1.54691260150537e-27,1.03534860418754e-24
"H3f3a",1584.99429969334,-0.847496644252983,0.0788337488849747,-10.7504293052149,5.89864315059355e-27,3.58905623699297e-24
"Rpl9",2120.04427727685,-0.817090406101484,0.0769371735713562,-10.6202290540822,2.39971561555516e-26,1.29611509041754e-23
"Rps10",3132.26434196366,-0.776885300916289,0.0731822864503493,-10.6157560606332,2.51748037881788e-26,1.29611509041754e-23
"Rpl10",2189.5854114777,-0.792903602234229,0.0762943629964405,-10.3926891986925,2.67696990628989e-25,1.27978282734273e-22
"Rps7",2575.36148411276,-0.792536992439921,0.0770521785520326,-10.2857181631111,8.17304870528313e-25,3.64681433229733e-22
"Rpl27",1825.14743000494,-0.841943706531465,0.0824916604811965,-10.2064099767198,1.85605480530675e-24,7.76410925744879e-22
"Btg2",3042.61803474698,-0.925589136772105,0.091100665686436,-10.1600699599489,2.98861923155842e-24,1.17663697157768e-21
"Mup4",60.5631923122469,5.36455342136378,0.52864031232942,10.1478326496237,3.38803936843032e-24,1.25978597182801e-21
"Cbr2",54.9858368579375,3.99663960843663,0.395020739931293,10.1175437247467,4.61860761800684e-24,1.62696530459578e-21
"Rps13",2990.43967678689,-0.779966070053662,0.0773391412841719,-10.0850107345747,6.43581493460034e-24,2.153745467864e-21
"Tpt1",6941.90087621468,-0.716415669970829,0.0712233208776271,-10.058723198287,8.4081708166717e-24,2.67980415599922e-21
"Rps2",1700.51234519489,-0.834129424052958,0.0833486676953606,-10.0077115461725,1.40975764046687e-23,4.28886722165672e-21
"Rpl32",3828.98846315954,-0.724384096532064,0.0724622726675882,-9.99670683605368,1.57549337034696e-23,4.58468570770966e-21
"Rpl30",3490.73507017593,-0.735780828229059,0.0745067044586613,-9.87536401690257,5.32393039561197e-23,1.48471108907629e-20
"Oaz1",1059.45631593523,-0.838907588344309,0.0851578315588679,-9.85120890219461,6.77244177174197e-23,1.81311811113076e-20
"Rpl17",2897.62950623549,-0.780518142644355,0.079288443813324,-9.84403407490252,7.27345165966931e-23,1.87235430608333e-20
"Gm15655",59.375922597584,3.11976103542485,0.317271971441142,9.83308112990249,8.10988356582635e-23,2.01035002615095e-20
"Maf",994.383710025142,0.947220569691184,0.0968697761747316,9.77828799751336,1.39550992678295e-22,3.33576712141368e-20
"Rps23",3392.04908280245,-0.712304882561727,0.0729958112779568,-9.75816105186337,1.70213573687979e-22,3.92841189204705e-20
"Rps19",2485.48796059601,-0.768171210732516,0.0797710843055626,-9.6296949880992,5.99070338633331e-22,1.33652592549096e-19
"Rps28",3682.87763383871,0.673660400096787,0.0703548814155465,9.57517639917345,1.01683576912342e-21,2.12677556335721e-19
"Tmsb4x",21871.4336665169,-0.719402455154117,0.0751156221803296,-9.57726814040163,9.96457023048378e-22,2.12677556335721e-19
"Rps6",1479.58284663485,-0.756741583552024,0.0794817384790537,-9.52094906368275,1.71604594458006e-21,3.48045318396191e-19
"Ier3",1769.17100667972,-0.961131575372156,0.101229772757959,-9.49455431131144,2.21155388157453e-21,4.35350886158187e-19
"Cd14",2226.5457031057,-0.906347605299921,0.0958643682720439,-9.45447846407215,3.24636247816236e-21,6.20797259038306e-19
"Nfkbia",1969.11137157731,-0.866072952284908,0.0930592209959221,-9.30668603300321,1.31883033766638e-20,2.38565714864894e-18
"Cox8a",1054.98420541618,-0.835623163748689,0.089764267439336,-9.30908464566278,1.28938731964796e-20,2.38565714864894e-18
"Rps11",3265.16221103404,-0.724017685260272,0.0780796482752887,-9.27280925635798,1.81306473122789e-20,3.19337953844954e-18
"Pfn1",1533.34407477132,-0.753727864504901,0.0816925095405133,-9.22640115653577,2.79877433521473e-20,4.80312733989543e-18
"Rpl26",3140.59283776297,-0.660268614976501,0.0716953594919324,-9.20936333474691,3.28064948636633e-20,5.48934675306246e-18
"Hk2",183.588544973875,1.45574359852556,0.160094036594025,9.09305324230854,9.62960686072406e-20,1.5719746028982e-17
"Fos",7847.66758176966,-0.78773339567016,0.0872607665440319,-9.02734902371812,1.75880734304943e-19,2.8027851302452e-17
"Rps4x",3368.10528164458,-0.658345220538753,0.0729803985899209,-9.02084988926979,1.86635676447619e-19,2.90500600573003e-17
"Rpl3",1853.92335151244,-0.695365659093519,0.0771274866220115,-9.0157956592231,1.95446478875748e-19,2.97300746162586e-17
"Ubb",2046.07077290506,-0.798207573515886,0.0887196215584087,-8.99696774507074,2.32037695680505e-19,3.45117399375472e-17
"Rps27a",3817.17152799555,-0.654032574881532,0.0729271034701556,-8.96830593510663,3.0110970949107e-19,4.38114627309507e-17
"Rpl11",2730.31571924943,-0.693365945236987,0.0774143083630319,-8.95656061390446,3.34963335226456e-19,4.77002043121419e-17
"Rps14",3686.31589967935,-0.697867404646237,0.0780730278856169,-8.93864915382387,3.93956469504217e-19,5.49323052164943e-17
"Rps15a",2920.25650763265,-0.727498198893915,0.081414903791896,-8.93568824638628,4.04651430907388e-19,5.52720821849623e-17
"Rpl27a",3805.78381998596,-0.641197193802531,0.0724041018977005,-8.85581309617618,8.30759827278273e-19,1.1120551047947e-16
"Fcer1g",3183.90662385441,-0.678402321554585,0.076930554894844,-8.81837291414171,1.16134915991674e-18,1.52409998574956e-16
"H3f3b",5181.01857757618,-0.694771499701379,0.0793689023108924,-8.75369923827244,2.06470884656378e-18,2.65751852116373e-16
"Rpl12",2411.56757730001,-0.688886054164788,0.0791373879749111,-8.70493797929224,3.17748465770444e-18,4.01262354981431e-16
"Rpl29",1404.24847063658,-0.757005045277292,0.087080615059898,-8.69315225617767,3.52519451077978e-18,4.36928275197205e-16
