seurat_clusters,organ_custom,time,mouse_id,n_cells
3,OM,D05,m2_ET_D5,11
3,OM,D05,m3_ET_D5,28
3,OM,D08,m1_ET_D8,32
3,OM,D08,m2_ET_D8,56
3,OM,D08,m3_ET_D8,27
3,OM,D14,m1_ET_D14,9
3,OM,D14,m2_ET_D14,12
3,OM,D14,m3_ET_D14,21
3,OM,Naive,m1_ET_Naive,52
3,OM,Naive,m2_ET_Naive,30
3,OM,Naive,m3_ET_Naive,37
3,RM,D02,m1_RT_D2,662
3,RM,D02,m2_RT_D2,466
3,RM,D02,m3_RT_D2,428
3,RM,D05,m1_RT_D5,222
3,RM,D05,m2_RT_D5,423
3,RM,D05,m3_RT_D5,495
3,RM,D08,m1_RT_D8,243
3,RM,D08,m2_RT_D8,383
3,RM,D08,m3_RT_D8,291
3,RM,D14,m1_RT_D14,343
3,RM,D14,m2_RT_D14,289
3,RM,D14,m3_RT_D14,240
3,RM,Naive,m1_RT_Naive,622
3,RM,Naive,m2_RT_Naive,542
3,RM,Naive,m3_RT_Naive,428
4,LNG,D02,m1_Sinus_D2,297
4,LNG,D02,m2_Sinus_D2,291
4,LNG,D02,m3_Sinus_D2,270
4,LNG,D05,m1_Sinus_D5,153
4,LNG,D05,m2_Sinus_D5,139
4,LNG,D05,m3_Sinus_D5,105
4,LNG,D08,m1_Sinus_D8,112
4,LNG,D08,m2_Sinus_D8,116
4,LNG,D08,m3_Sinus_D8,80
4,LNG,D14,m1_Sinus_D14,211
4,LNG,D14,m2_Sinus_D14,269
4,LNG,D14,m3_Sinus_D14,84
4,LNG,Naive,m1_Sinus_Naive,74
4,LNG,Naive,m2_Sinus_Naive,104
4,LNG,Naive,m3_Sinus_Naive,117
4,OM,D02,m1_ET_D2,114
4,OM,D02,m2_ET_D2,109
4,OM,D02,m3_ET_D2,109
4,OM,D05,m1_ET_D5,32
4,OM,D05,m2_ET_D5,30
4,OM,D05,m3_ET_D5,42
4,OM,D08,m1_ET_D8,131
4,OM,D08,m2_ET_D8,75
4,OM,D08,m3_ET_D8,71
4,OM,D14,m1_ET_D14,71
4,OM,D14,m2_ET_D14,123
4,OM,D14,m3_ET_D14,112
4,OM,Naive,m1_ET_Naive,137
4,OM,Naive,m2_ET_Naive,89
4,OM,Naive,m3_ET_Naive,85
4,RM,D02,m1_RT_D2,323
4,RM,D02,m2_RT_D2,190
4,RM,D02,m3_RT_D2,193
4,RM,D05,m1_RT_D5,63
4,RM,D05,m2_RT_D5,165
4,RM,D05,m3_RT_D5,142
4,RM,D08,m1_RT_D8,66
4,RM,D08,m2_RT_D8,90
4,RM,D08,m3_RT_D8,99
4,RM,D14,m1_RT_D14,100
4,RM,D14,m2_RT_D14,158
4,RM,D14,m3_RT_D14,138
4,RM,Naive,m1_RT_Naive,234
4,RM,Naive,m2_RT_Naive,134
4,RM,Naive,m3_RT_Naive,165
5,LNG,D02,m1_Sinus_D2,36
5,LNG,D02,m2_Sinus_D2,35
5,LNG,D02,m3_Sinus_D2,21
5,LNG,D05,m1_Sinus_D5,14
5,LNG,D05,m2_Sinus_D5,15
5,LNG,D05,m3_Sinus_D5,66
5,LNG,D08,m1_Sinus_D8,16
5,LNG,D08,m2_Sinus_D8,20
5,LNG,D08,m3_Sinus_D8,17
5,LNG,D14,m1_Sinus_D14,85
5,LNG,D14,m2_Sinus_D14,242
5,LNG,D14,m3_Sinus_D14,28
5,LNG,Naive,m1_Sinus_Naive,23
5,LNG,Naive,m2_Sinus_Naive,11
5,LNG,Naive,m3_Sinus_Naive,54
