"mouse_id","time","n_cells"
"m1_RT_D2","D02",323
"m2_RT_D2","D02",190
"m3_RT_D2","D02",193
"m1_RT_Naive","Naive",234
"m2_RT_Naive","Naive",134
"m3_RT_Naive","Naive",165
